iter	Passed	Remaining
0	3	3452
1	6	3080
2	8	2881
3	11	2863
4	14	2865
5	17	2851
6	20	2839
7	23	2918
8	26	2940
9	29	2938
10	32	2897
11	34	2866
12	37	2865
13	41	2911
14	44	2921
15	47	2925
16	50	2904
17	53	2900
18	56	2915
19	60	2975
20	63	2962
21	66	2958
22	69	2955
23	72	2942
24	75	2929
25	77	2917
26	81	2930
27	84	2922
28	87	2915
29	89	2909
30	92	2901
31	95	2889
32	98	2882
33	101	2889
34	104	2886
35	107	2871
36	109	2861
37	113	2863
38	116	2858
39	119	2873
40	122	2867
41	125	2862
42	128	2861
43	131	2851
44	134	2846
45	137	2844
46	141	2862
47	144	2856
48	147	2855
49	149	2845
50	152	2840
51	155	2842
52	159	2853
53	162	2847
54	165	2841
55	168	2833
56	171	2833
57	173	2824
58	177	2832
59	180	2826
60	182	2816
61	186	2821
62	189	2815
63	191	2806
64	194	2796
65	198	2802
66	201	2803
67	204	2806
68	208	2819
69	212	2820
70	216	2834
71	220	2837
72	222	2831
73	226	2828
74	229	2826
75	232	2828
76	236	2839
77	240	2842
78	244	2846
79	247	2850
80	251	2851
81	255	2855
82	259	2864
83	262	2860
84	265	2858
85	268	2849
86	271	2852
87	276	2862
88	279	2859
89	282	2855
90	285	2851
91	288	2848
92	292	2855
93	295	2849
94	298	2843
95	301	2839
96	304	2834
97	307	2829
98	310	2823
99	313	2825
100	316	2818
101	319	2813
102	322	2805
103	324	2798
104	327	2790
105	330	2788
106	333	2783
107	336	2779
108	339	2771
109	342	2767
110	345	2766
111	348	2764
112	352	2767
113	355	2761
114	358	2756
115	361	2751
116	363	2746
117	366	2739
118	370	2743
119	374	2742
120	376	2738
121	379	2732
122	382	2728
123	385	2722
124	390	2733
125	393	2728
126	396	2724
127	399	2720
128	402	2720
129	406	2720
130	410	2720
131	412	2715
132	415	2710
133	418	2706
134	421	2699
135	424	2693
136	427	2690
137	430	2688
138	432	2681
139	435	2674
140	438	2669
141	440	2663
142	443	2656
143	447	2661
144	451	2659
145	453	2654
146	456	2650
147	459	2647
148	462	2643
149	466	2640
150	469	2640
151	472	2635
152	475	2631
153	478	2627
154	481	2622
155	483	2618
156	487	2617
157	490	2613
158	493	2609
159	496	2605
160	498	2600
161	501	2595
162	504	2593
163	508	2591
164	511	2586
165	513	2582
166	516	2578
167	519	2573
168	522	2569
169	526	2568
170	528	2563
171	531	2558
172	534	2553
173	536	2547
174	539	2542
175	542	2537
176	545	2537
177	549	2538
178	553	2536
179	555	2532
180	559	2530
181	562	2526
182	566	2526
183	569	2524
184	572	2521
185	575	2518
186	578	2514
187	581	2510
188	585	2512
189	588	2508
190	592	2508
191	595	2505
192	598	2500
193	600	2495
194	605	2497
195	608	2496
196	611	2493
197	615	2491
198	617	2487
199	620	2482
200	624	2483
201	627	2478
202	630	2473
203	632	2469
204	635	2464
205	638	2459
206	640	2454
207	644	2453
208	647	2450
209	650	2446
210	653	2442
211	656	2438
212	658	2434
213	662	2433
214	665	2431
215	668	2426
216	671	2422
217	673	2417
218	676	2412
219	679	2409
220	683	2410
221	686	2406
222	689	2403
223	693	2403
224	696	2400
225	700	2399
226	704	2398
227	707	2395
228	711	2394
229	714	2391
230	717	2388
231	720	2386
232	724	2383
233	727	2380
234	730	2378
235	733	2375
236	737	2373
237	740	2371
238	744	2369
239	747	2366
240	751	2365
241	754	2363
242	758	2361
243	762	2361
244	765	2358
245	768	2355
246	771	2352
247	775	2350
248	778	2349
249	782	2347
250	785	2344
251	788	2340
252	791	2337
253	795	2336
254	799	2335
255	802	2331
256	805	2329
257	809	2327
258	812	2324
259	815	2322
260	819	2321
261	823	2318
262	826	2315
263	829	2311
264	832	2308
265	836	2308
266	840	2306
267	843	2302
268	846	2299
269	849	2296
270	852	2293
271	856	2293
272	860	2290
273	863	2288
274	866	2285
275	869	2280
276	872	2276
277	876	2276
278	879	2273
279	883	2270
280	886	2268
281	889	2265
282	893	2264
283	896	2261
284	899	2256
285	902	2252
286	905	2248
287	907	2244
288	910	2240
289	914	2239
290	917	2235
291	920	2231
292	923	2229
293	926	2224
294	929	2220
295	933	2219
296	936	2215
297	938	2211
298	941	2207
299	944	2203
300	946	2199
301	949	2195
302	953	2193
303	957	2193
304	960	2189
305	963	2184
306	966	2182
307	969	2178
308	973	2176
309	976	2172
310	979	2169
311	982	2166
312	985	2162
313	988	2159
314	991	2156
315	994	2152
316	998	2151
317	1001	2148
318	1004	2144
319	1007	2140
320	1011	2139
321	1014	2135
322	1017	2132
323	1019	2128
324	1022	2124
325	1026	2121
326	1029	2118
327	1032	2114
328	1035	2111
329	1038	2107
330	1040	2103
331	1043	2100
332	1046	2095
333	1050	2093
334	1053	2091
335	1056	2087
336	1059	2083
337	1061	2079
338	1064	2075
339	1067	2071
340	1071	2070
341	1073	2066
342	1076	2062
343	1079	2058
344	1082	2055
345	1085	2051
346	1089	2049
347	1092	2046
348	1095	2042
349	1097	2038
350	1100	2034
351	1103	2030
352	1106	2027
353	1110	2025
354	1112	2022
355	1115	2018
356	1118	2014
357	1120	2010
358	1123	2006
359	1128	2005
360	1131	2002
361	1134	1998
362	1136	1994
363	1139	1991
364	1142	1988
365	1145	1984
366	1149	1982
367	1152	1978
368	1155	1975
369	1158	1972
370	1160	1968
371	1163	1963
372	1166	1961
373	1169	1957
374	1172	1953
375	1175	1950
376	1177	1946
377	1180	1942
378	1184	1940
379	1188	1938
380	1191	1935
381	1194	1931
382	1196	1928
383	1199	1924
384	1202	1920
385	1206	1918
386	1209	1915
387	1212	1912
388	1215	1908
389	1218	1905
390	1220	1901
391	1223	1898
392	1227	1895
393	1230	1891
394	1232	1888
395	1235	1884
396	1238	1881
397	1241	1877
398	1244	1875
399	1248	1872
400	1251	1868
401	1253	1865
402	1256	1861
403	1259	1858
404	1262	1854
405	1265	1852
406	1269	1849
407	1272	1845
408	1274	1842
409	1277	1838
410	1280	1834
411	1283	1832
412	1286	1828
413	1289	1825
414	1292	1821
415	1294	1817
416	1297	1814
417	1300	1810
418	1304	1809
419	1307	1805
420	1310	1802
421	1313	1799
422	1316	1796
423	1319	1792
424	1323	1790
425	1326	1786
426	1328	1783
427	1331	1779
428	1334	1776
429	1337	1773
430	1340	1769
431	1344	1767
432	1347	1764
433	1350	1760
434	1353	1757
435	1355	1753
436	1358	1750
437	1362	1748
438	1365	1744
439	1367	1740
440	1371	1737
441	1373	1734
442	1376	1730
443	1379	1727
444	1383	1724
445	1386	1722
446	1390	1720
447	1394	1717
448	1397	1714
449	1401	1712
450	1404	1710
451	1407	1706
452	1410	1703
453	1413	1699
454	1416	1696
455	1419	1693
456	1422	1690
457	1425	1687
458	1429	1685
459	1433	1682
460	1436	1679
461	1440	1676
462	1443	1674
463	1446	1671
464	1449	1667
465	1452	1664
466	1454	1660
467	1457	1656
468	1461	1654
469	1464	1651
470	1467	1647
471	1469	1644
472	1472	1640
473	1475	1637
474	1478	1634
475	1482	1631
476	1484	1627
477	1487	1624
478	1490	1620
479	1492	1617
480	1495	1613
481	1499	1611
482	1502	1608
483	1505	1605
484	1508	1601
485	1511	1598
486	1513	1594
487	1516	1590
488	1520	1588
489	1523	1585
490	1525	1581
491	1528	1578
492	1531	1575
493	1535	1572
494	1539	1570
495	1542	1567
496	1545	1563
497	1548	1560
498	1550	1556
499	1553	1553
500	1557	1551
501	1561	1548
502	1564	1545
503	1566	1541
504	1569	1537
505	1571	1534
506	1575	1531
507	1579	1529
508	1582	1526
509	1584	1522
510	1587	1518
511	1590	1515
512	1593	1512
513	1596	1509
514	1599	1506
515	1602	1503
516	1605	1499
517	1608	1496
518	1611	1493
519	1614	1489
520	1617	1487
521	1620	1484
522	1624	1481
523	1626	1477
524	1629	1474
525	1632	1470
526	1636	1468
527	1639	1465
528	1642	1462
529	1644	1458
